Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,% GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GNS,GNS WR,IWD
Repel Calamity,W,U,97115,3.67,19457,4.76,98252,83.0%,55.4%,16008,56.0%,22668,57.7%,38676,57.0%,59306,54.3%,2.7pp
Salvation Swan,W,R,19440,1.96,9949,1.99,52404,87.1%,54.9%,8585,54.5%,12557,58.4%,21142,56.8%,30955,53.4%,3.4pp
Season of the Burrow,W,M,7390,1.52,4918,1.49,26136,86.3%,56.8%,4390,59.9%,6119,62.9%,10509,61.7%,15551,53.4%,8.3pp
Seasoned Warrenguard,W,U,129529,5.04,21422,6.81,82770,63.1%,56.3%,14602,60.3%,17542,54.4%,32144,57.1%,50480,55.8%,1.3pp
Shrike Force,W,U,97229,3.74,18449,4.85,90363,81.2%,55.0%,15713,55.7%,20743,55.3%,36456,55.5%,53633,54.5%,0.9pp
Sonar Strike,W,C,292307,4.42,45054,6.2,213613,78.7%,54.8%,35960,54.6%,48801,56.7%,84761,55.8%,128026,54.2%,1.6pp
Star Charter,W,U,105440,4.09,19037,5.4,78593,68.7%,54.1%,12930,52.3%,18470,55.3%,31400,54.1%,46015,53.7%,0.4pp
Starfall Invocation,W,R,20598,2.11,9134,2.1,43130,78.7%,54.4%,7196,54.6%,10340,58.5%,17536,56.9%,25401,52.6%,4.2pp
Thistledown Players,W,C,366538,5.95,47107,8.71,140809,49.9%,53.4%,23928,53.4%,30043,51.5%,53971,52.4%,86523,54.0%,-1.6pp
Valley Questcaller,W,R,15767,1.61,10007,1.59,56783,90.0%,58.1%,10403,66.0%,13002,62.5%,23405,64.1%,32939,53.7%,10.4pp
Warren Elder,W,C,294493,4.48,61192,5.9,314238,84.5%,55.6%,55833,55.0%,69833,55.9%,125666,55.5%,187105,55.6%,-0.1pp
Warren Warleader,W,M,6781,1.38,4940,1.35,27428,89.2%,57.3%,4812,61.1%,6390,64.7%,11202,63.1%,16148,53.2%,9.9pp
Wax-Wane Witness,W,C,365920,5.97,45536,8.83,133781,49.0%,53.8%,21495,53.0%,31146,54.8%,52641,54.1%,79292,53.3%,0.8pp
Whiskervale Forerunner,W,R,19515,1.97,9175,1.95,46841,85.0%,54.7%,8030,55.7%,10684,56.3%,18714,56.0%,28011,53.8%,2.2pp
Azure Beastbinder,U,R,30352,2.89,10011,3.22,47895,79.4%,54.9%,8704,60.3%,13461,59.0%,22165,59.5%,25726,50.8%,8.7pp
Bellowing Crier,U,C,388617,6.85,54890,9.6,152393,47.0%,52.4%,27622,52.1%,41282,54.1%,68904,53.3%,83359,51.7%,1.6pp
Calamitous Tide,U,U,148364,6.01,23439,8.31,65017,46.9%,53.2%,9695,51.7%,18839,57.9%,28534,55.8%,35902,51.0%,4.8pp
Daring Waverider,U,U,133394,5.3,23785,7.09,77520,54.4%,54.3%,11713,52.5%,23109,59.8%,34822,57.3%,42593,51.7%,5.6pp
Dazzling Denial,U,C,378639,6.56,51925,9.31,140395,45.6%,53.0%,24661,54.6%,37919,55.7%,62580,55.3%,77012,51.1%,4.2pp
Dire Downdraft,U,C,379155,6.43,59282,8.86,201627,56.8%,54.1%,32461,53.6%,58663,58.1%,91124,56.5%,108819,52.1%,4.5pp
Dour Port-Mage,U,R,28156,2.76,10295,2.92,50424,81.8%,54.6%,9263,57.6%,14354,58.9%,23617,58.4%,26867,51.3%,7.1pp
Eddymurk Crab,U,U,126355,5.0,22945,6.58,81272,59.5%,53.4%,12449,51.6%,24469,59.2%,36918,56.7%,44292,50.7%,6.0pp
"Eluge, the Shoreless Sea",U,M,18881,3.53,3513,4.53,8947,43.9%,51.0%,1516,53.8%,2625,54.8%,4141,54.4%,4841,48.0%,6.4pp
Finch Formation,U,C,393161,7.05,45379,10.31,72924,27.3%,50.4%,12224,47.5%,19590,53.1%,31814,51.0%,41045,49.9%,1.0pp
Gossip's Talent,U,U,141491,5.92,17852,8.7,34059,32.8%,49.8%,5849,44.1%,9655,51.7%,15504,48.8%,18347,50.5%,-1.7pp
Into the Flood Maw,U,U,143291,5.7,21307,8.01,67070,52.7%,53.7%,10966,53.4%,19429,58.2%,30395,56.4%,36112,51.3%,5.2pp
Kitnap,U,R,29597,2.83,10055,3.11,49438,81.9%,54.3%,8250,54.3%,14549,59.1%,22799,57.4%,26173,51.4%,6.0pp
"Kitsa, Otterball Elite",U,M,12480,2.49,4511,2.66,21335,79.0%,54.4%,3956,60.0%,5965,57.3%,9921,58.4%,11419,50.9%,7.4pp
Knightfisher,U,U,131715,5.27,19152,7.35,55185,48.5%,52.1%,8614,52.5%,15448,56.0%,24062,54.7%,31260,49.9%,4.8pp
Lightshell Duo,U,C,390461,6.96,53079,9.83,122105,38.6%,53.1%,19921,53.4%,35697,56.7%,55618,55.5%,66358,51.0%,4.5pp
Long River Lurker,U,U,112240,4.38,24197,5.55,104703,72.6%,54.4%,18103,53.7%,30360,59.0%,48463,57.0%,56208,52.1%,4.9pp
Long River's Pull,U,U,149487,6.18,19702,8.91,44025,37.7%,51.9%,7253,52.2%,12490,55.9%,19743,54.6%,23914,49.4%,5.1pp
Mind Spiral,U,C,403081,7.35,54023,10.47,88658,27.6%,52.4%,13860,50.0%,25019,56.2%,38879,54.0%,49074,51.0%,3.0pp
Mindwhisker,U,U,121841,4.77,25369,6.1,108253,71.2%,54.4%,19011,54.3%,31807,58.8%,50818,57.1%,57311,51.9%,5.3pp
Mockingbird,U,R,28250,2.64,9218,2.97,45180,82.2%,53.7%,7684,52.9%,12959,58.8%,20643,56.6%,24496,51.2%,5.3pp
Nightwhorl Hermit,U,C,410035,7.79,48999,11.22,48037,16.6%,49.3%,8178,45.6%,13271,52.9%,21449,50.1%,26444,48.6%,1.5pp
Otterball Antics,U,U,139831,5.85,19270,8.25,50304,44.3%,52.2%,8883,51.1%,13905,55.8%,22788,54.0%,27124,50.5%,3.5pp
Pearl of Wisdom,U,C,383285,6.8,49485,9.64,114860,39.1%,53.3%,19762,53.9%,32909,57.7%,52671,56.3%,60987,50.5%,5.8pp
Plumecreed Escort,U,U,114857,4.43,23213,5.81,107297,77.5%,53.9%,18963,53.8%,29858,57.7%,48821,56.2%,58300,51.9%,4.3pp
Portent of Calamity,U,R,58026,5.21,7778,7.78,9086,19.6%,51.2%,1455,48.8%,2593,55.0%,4048,52.8%,4975,49.8%,3.0pp
Run Away Together,U,C,391797,6.94,52434,9.86,125154,40.5%,52.3%,19892,49.4%,36065,55.8%,55957,53.5%,68350,51.3%,2.3pp
Season of Weaving,U,M,10320,2.11,5163,2.13,25689,81.9%,55.5%,4122,56.5%,7528,63.0%,11650,60.7%,13778,50.9%,9.8pp
Shore Up,U,C,382899,6.66,52352,9.45,151487,49.0%,52.3%,23993,50.7%,42890,56.3%,66883,54.3%,83575,50.7%,3.6pp
Shoreline Looter,U,U,98303,3.88,28435,4.49,139522,80.1%,56.0%,25911,61.9%,39719,59.3%,65630,60.4%,73913,52.1%,8.2pp
Skyskipper Duo,U,C,385987,6.77,53293,9.6,139349,44.1%,52.8%,21227,50.3%,40865,56.0%,62092,54.0%,77328,51.8%,2.2pp
Spellgyre,U,U,145266,5.82,21767,8.2,66877,51.8%,53.2%,10568,52.7%,19517,57.6%,30085,55.9%,36247,50.9%,4.9pp
Splash Lasher,U,U,108734,4.21,25483,5.27,118131,77.5%,54.4%,19307,53.0%,34671,59.7%,53978,57.3%,64053,52.0%,5.4pp
Splash Portal,U,U,139483,5.57,21955,7.71,71383,55.1%,53.2%,11365,51.8%,20938,56.9%,32303,55.1%,38553,51.5%,3.6pp
Stormchaser's Talent,U,R,34705,3.36,9255,3.85,38880,69.9%,55.0%,6916,57.6%,11447,59.5%,18363,58.8%,20045,51.3%,7.4pp
Sugar Coat,U,U,124867,4.81,21435,6.57,89511,70.7%,53.1%,14824,51.8%,25947,56.6%,40771,54.9%,47989,51.5%,3.4pp
Thought Shucker,U,C,404788,7.59,50590,10.86,70813,23.6%,51.2%,12282,48.4%,19316,54.5%,31598,52.1%,39031,50.4%,1.7pp
Thundertrap Trainer,U,R,37402,3.43,9517,4.07,41135,72.0%,54.4%,7373,55.2%,12050,59.0%,19423,57.6%,21651,51.4%,6.1pp
Valley Floodcaller,U,R,30279,2.95,8446,3.32,38384,77.4%,52.8%,6795,52.9%,11167,56.2%,17962,54.9%,20384,50.9%,4.1pp
Waterspout Warden,U,C,403527,7.48,48910,10.77,73576,25.4%,51.8%,12538,50.5%,20147,53.2%,32685,52.2%,40900,51.4%,0.7pp
Wishing Well,U,R,63685,5.68,8606,8.53,5051,9.8%,53.6%,824,49.8%,1543,59.8%,2367,56.3%,2636,50.9%,5.4pp
Agate-Blade Assassin,B,C,346535,5.55,51652,7.91,205885,65.9%,54.6%,37184,55.9%,45162,53.8%,82346,54.7%,122423,54.4%,0.4pp
Bandit's Talent,B,U,119072,4.68,16486,6.83,52513,53.6%,52.4%,9129,49.4%,12933,54.8%,22062,52.6%,30029,52.2%,0.4pp
Bonebind Orator,B,C,339316,5.24,64490,7.18,308766,79.0%,55.1%,54460,54.6%,72361,55.7%,126821,55.2%,180858,55.0%,0.2pp
Bonecache Overseer,B,U,136542,5.31,25820,6.99,89648,57.6%,55.1%,15641,57.7%,21637,55.6%,37278,56.5%,51826,54.0%,2.5pp
Coiling Rebirth,B,R,37163,3.41,7773,4.34,28991,62.8%,52.9%,4291,49.7%,7148,55.9%,11439,53.6%,17330,52.4%,1.2pp
Consumed by Greed,B,U,82363,3.17,27100,3.7,147420,88.8%,56.2%,24396,55.9%,36313,60.6%,60709,58.7%,85611,54.3%,4.4pp
Cruelclaw's Heist,B,R,37898,3.45,7724,4.39,29523,64.5%,52.2%,4988,50.7%,7281,54.8%,12269,53.1%,17023,51.4%,1.8pp
Daggerfang Duo,B,C,335984,5.25,63215,7.16,288007,75.9%,54.4%,49939,53.8%,71108,56.6%,121047,55.4%,165362,53.5%,1.9pp
Darkstar Augur,B,R,21223,2.13,10752,2.16,57262,86.7%,56.7%,10187,60.4%,13882,60.2%,24069,60.3%,32771,53.9%,6.4pp
Diresight,B,C,391481,6.65,51199,9.75,111256,36.0%,53.6%,18900,52.4%,26538,55.9%,45438,54.5%,65388,53.0%,1.4pp
Downwind Ambusher,B,U,93413,3.53,30839,4.15,165894,87.2%,56.8%,27712,58.1%,40677,60.6%,68389,59.6%,96665,54.7%,4.9pp
Early Winter,B,C,360666,5.76,48744,8.52,142219,48.9%,52.7%,21813,50.5%,34939,55.3%,56752,53.4%,84474,52.1%,1.4pp
Feed the Cycle,B,U,67686,2.65,26113,3.02,143789,90.3%,55.8%,24338,56.1%,35770,60.1%,60108,58.5%,82583,53.6%,4.8pp
Fell,B,U,58014,2.31,25136,2.59,140688,91.2%,56.1%,24449,57.6%,34615,60.8%,59064,59.5%,80408,53.5%,5.9pp
Glidedive Duo,B,C,338200,5.24,63146,7.19,286905,74.7%,55.4%,44890,53.7%,69517,58.4%,114407,56.5%,169455,54.4%,2.1pp
Hazel's Nocturne,B,U,124053,4.69,24404,6.32,105223,71.4%,54.9%,16001,52.4%,26161,58.8%,42162,56.4%,62356,53.8%,2.6pp
Huskburster Swarm,B,U,118690,4.49,20178,6.2,78986,65.9%,53.0%,11769,50.4%,20008,55.7%,31777,53.7%,47012,52.5%,1.2pp
Iridescent Vinelasher,B,R,21088,2.12,9327,2.18,47936,85.2%,55.4%,8713,58.1%,11113,58.1%,19826,58.1%,27786,53.4%,4.7pp
"Maha, Its Feathers Night",B,M,6579,1.35,5137,1.33,29208,90.7%,57.7%,4964,61.2%,7438,64.7%,12402,63.3%,16707,53.5%,9.8pp
Moonstone Harbinger,B,U,103873,4.0,20712,5.24,92165,73.8%,54.7%,15958,55.1%,21898,57.0%,37856,56.2%,53033,53.1%,3.1pp
Nocturnal Hunger,B,C,222439,3.41,63162,4.24,346166,90.4%,55.2%,58733,54.4%,85224,58.7%,143957,56.9%,199607,53.9%,3.0pp
Osteomancer Adept,B,R,21012,2.11,10985,2.15,59654,88.4%,56.3%,10608,58.5%,14489,59.3%,25097,59.0%,34062,54.2%,4.8pp
Persistent Marshstalker,B,U,124367,4.68,24129,6.24,99570,68.3%,54.7%,17809,55.3%,23910,56.3%,41719,55.9%,57599,53.9%,2.0pp
Psychic Whorl,B,C,402701,7.31,46736,10.85,36404,13.0%,51.3%,5965,50.8%,9135,54.4%,15100,53.0%,21033,49.9%,3.1pp
Ravine Raider,B,C,380952,6.55,51612,9.26,140006,44.8%,55.2%,25066,57.4%,29979,53.5%,55045,55.3%,84655,55.2%,0.1pp
Rottenmouth Viper,B,M,6739,1.38,5116,1.36,28949,92.3%,55.4%,4833,57.1%,7467,60.3%,12300,59.0%,16634,52.5%,6.5pp
Ruthless Negotiation,B,U,140900,5.51,23021,7.7,77486,54.8%,56.2%,13276,57.7%,19033,57.9%,32309,57.8%,44754,54.9%,2.9pp
Savor,B,C,236249,3.61,72148,4.37,396113,89.3%,56.4%,69643,58.1%,96722,59.9%,166365,59.2%,226859,54.2%,4.9pp
Scales of Shale,B,C,367478,6.02,61448,8.26,217130,58.1%,55.7%,34250,55.7%,50278,59.0%,84528,57.6%,131574,54.5%,3.2pp
Scavenger's Talent,B,R,31872,3.11,9485,3.46,39810,70.2%,54.1%,6920,52.7%,9944,58.5%,16864,56.1%,22667,52.6%,3.5pp
Season of Loss,B,M,7684,1.6,5560,1.57,30818,88.8%,58.0%,5229,61.9%,7751,68.1%,12980,65.6%,17572,52.2%,13.4pp
Sinister Monolith,B,U,128289,4.98,16893,7.37,51530,51.8%,51.9%,8457,48.4%,11989,53.2%,20446,51.2%,30795,52.3%,-1.1pp
Stargaze,B,U,156503,6.35,23793,9.03,52884,36.9%,53.6%,8198,51.5%,12907,56.4%,21105,54.5%,31607,53.0%,1.5pp
Starlit Soothsayer,B,C,376579,6.3,45013,9.4,108306,40.3%,52.3%,18580,49.9%,24597,52.9%,43177,51.6%,63918,52.5%,-0.8pp
Starscape Cleric,B,U,99923,3.87,21328,4.96,101169,78.2%,55.2%,17862,56.0%,23021,57.2%,40883,56.7%,58903,53.8%,2.9pp
Thornplate Intimidator,B,C,365777,5.94,48315,8.8,140457,48.5%,53.4%,22428,52.3%,34093,55.9%,56521,54.5%,83318,52.5%,1.9pp
Thought-Stalker Warlock,B,U,72544,2.87,31517,3.16,175445,89.7%,57.2%,30476,61.2%,42310,60.5%,72786,60.8%,101439,54.5%,6.3pp
Valley Rotcaller,B,R,20167,2.02,9950,2.08,54579,90.2%,55.7%,9871,58.8%,12937,58.3%,22808,58.6%,31321,53.5%,5.1pp
"Wick, the Whorled Mind",B,R,33808,3.23,8780,3.72,32421,62.6%,52.4%,5515,52.0%,8402,56.8%,13917,54.9%,18343,50.4%,4.5pp
Wick's Patrol,B,U,84367,3.3,32693,3.71,174668,86.6%,56.6%,27073,57.8%,44196,61.8%,71269,60.3%,102494,54.0%,6.3pp
Agate Assault,R,C,292669,4.52,47214,6.15,222515,78.7%,53.9%,37177,53.1%,51661,55.1%,88838,54.3%,133027,53.6%,0.7pp
Alania's Pathmaker,R,C,377064,6.32,52855,8.9,166332,52.4%,53.9%,27094,52.9%,38466,54.3%,65560,53.7%,100751,53.9%,-0.2pp
Artist's Talent,R,R,54038,5.04,6694,7.54,7247,18.4%,47.0%,1254,43.1%,1950,47.5%,3204,45.8%,3994,47.8%,-2.1pp
Blacksmith's Talent,R,U,112446,4.51,21896,5.77,91034,68.8%,54.6%,16028,55.9%,19606,53.9%,35634,54.8%,55293,54.4%,0.3pp
Blooming Blast,R,U,109105,4.13,18966,5.53,87663,77.5%,53.6%,14903,52.3%,20118,55.4%,35021,54.1%,52417,53.3%,0.8pp
Brambleguard Captain,R,U,107738,4.16,19031,5.48,85181,74.5%,54.0%,13872,53.3%,18675,54.3%,32547,53.9%,52580,54.1%,-0.2pp
Brazen Collector,R,U,103222,3.94,22251,4.99,111706,83.0%,54.7%,20343,57.9%,24144,52.2%,44487,54.8%,67220,54.7%,0.1pp
Byway Barterer,R,R,25701,2.58,9289,2.74,47016,83.9%,55.0%,8232,56.8%,10742,57.0%,18974,56.9%,28088,53.8%,3.1pp
Coruscation Mage,R,U,116589,4.56,19528,6.06,82864,71.0%,53.3%,14784,54.1%,20293,54.6%,35077,54.4%,47722,52.5%,1.9pp
Conduct Electricity,R,C,386797,6.66,41562,9.97,75327,30.3%,51.7%,11279,50.3%,17915,54.0%,29194,52.6%,45869,51.1%,1.4pp
Emberheart Challenger,R,R,21960,2.25,9068,2.3,46263,83.6%,55.3%,8515,59.1%,10284,56.9%,18799,57.9%,27478,53.6%,4.3pp
Festival of Embers,R,R,63155,5.64,8073,8.59,3161,6.6%,48.3%,497,,854,49.5%,1351,47.7%,1787,48.4%,-0.7pp
Flamecache Gecko,R,U,120330,4.66,23888,5.99,107976,74.1%,55.8%,19152,56.9%,23194,55.8%,42346,56.3%,65535,55.5%,0.8pp
"Dragonhawk, Fate's Tempest",R,M,7325,1.52,4680,1.48,24338,84.9%,56.3%,4198,60.1%,5815,63.8%,10013,62.2%,14366,52.1%,10.1pp
Frilled Sparkshooter,R,C,385194,6.73,44804,9.82,101220,37.7%,53.4%,16152,51.6%,22300,52.3%,38452,52.0%,62771,54.1%,-2.1pp
Harnesser of Storms,R,U,141881,5.82,17771,8.35,39902,38.3%,50.6%,6869,49.0%,10324,50.9%,17193,50.1%,22720,50.9%,-0.8pp
Heartfire Hero,R,U,95338,3.78,20335,4.64,95008,77.0%,55.3%,17193,60.8%,20418,53.1%,37611,56.6%,57481,54.4%,2.2pp
Hearthborn Battler,R,R,27169,2.67,7857,2.95,38780,82.6%,53.7%,6754,52.3%,8822,54.6%,15576,53.6%,23234,53.8%,-0.1pp
Hired Claw,R,R,25272,2.54,9458,2.57,46389,79.3%,56.7%,8546,66.3%,10141,55.0%,18687,60.2%,27772,54.3%,5.8pp
Hoarder's Overflow,R,U,163104,7.06,18299,10.62,13015,12.0%,49.4%,2213,43.3%,2953,46.9%,5166,45.4%,7834,52.0%,-6.6pp
Kindlespark Duo,R,C,376755,6.58,42525,9.59,97624,39.0%,50.6%,16517,48.9%,23440,49.8%,39957,49.4%,57598,51.4%,-2.0pp
Manifold Mouse,R,R,22839,2.39,9061,2.34,44252,78.7%,57.1%,8071,63.8%,9687,62.4%,17758,63.0%,26401,53.1%,9.9pp
Might of the Meek,R,C,380236,6.57,47512,9.43,131165,46.2%,53.4%,21036,52.3%,30222,53.0%,51258,52.7%,79713,53.9%,-1.1pp
Playful Shove,R,U,134704,5.18,20633,7.22,73085,59.3%,53.7%,12501,53.0%,17289,54.8%,29790,54.1%,43093,53.3%,0.7pp
Quaketusk Boar,R,U,94450,3.62,20776,4.51,100720,80.7%,54.4%,15743,55.1%,22954,56.6%,38697,56.0%,62188,53.5%,2.5pp
Rabid Gnaw,R,U,84216,3.24,23936,3.87,124914,85.3%,55.7%,20801,57.7%,28338,58.9%,49139,58.4%,75481,53.9%,4.5pp
Raccoon Rallier,R,C,372794,6.29,49254,8.92,163931,55.4%,53.5%,29066,53.1%,34247,49.8%,63313,51.3%,100585,54.8%,-3.5pp
Reptilian Recruiter,R,U,141720,5.66,19297,8.01,51699,44.8%,53.7%,7581,51.7%,11427,54.4%,19008,53.3%,32637,54.0%,-0.6pp
Roughshod Duo,R,C,357683,5.87,49314,8.28,188503,63.6%,54.2%,32126,53.7%,41069,52.8%,73195,53.2%,115263,54.8%,-1.6pp
Sazacap's Brew,R,C,397019,7.03,46580,10.24,88011,31.7%,52.2%,14738,50.2%,20288,51.1%,35026,50.7%,52789,53.1%,-2.4pp
Season of the Bold,R,M,12469,2.47,4126,2.58,18356,75.2%,53.1%,2974,52.0%,4366,54.7%,7340,53.6%,10952,52.7%,0.9pp
Steampath Charger,R,C,369076,6.19,49441,8.76,169256,56.9%,53.8%,29909,51.6%,35899,52.6%,65808,52.1%,103276,54.9%,-2.8pp
Stormsplitter,R,M,20634,3.96,2880,5.5,3802,22.6%,47.1%,608,41.0%,1021,43.8%,1629,42.7%,2177,50.3%,-7.6pp
Sunspine Lynx,R,R,35404,3.34,6942,4.16,27121,65.8%,52.6%,4479,50.8%,6126,51.6%,10605,51.2%,16575,53.4%,-2.2pp
Take Out the Trash,R,C,252584,3.89,57797,4.89,300545,85.3%,55.2%,52368,56.8%,68968,56.9%,121336,56.8%,178428,54.1%,2.7pp
Teapot Slinger,R,U,116835,4.53,18790,6.16,78002,69.5%,53.5%,12780,53.9%,17589,53.3%,30369,53.6%,47765,53.4%,0.2pp
Valley Flamecaller,R,R,22725,2.24,8758,2.33,45690,86.2%,55.2%,7952,57.9%,10426,56.2%,18378,56.9%,27399,54.0%,3.0pp
War Squeak,R,C,400791,7.34,41726,10.96,46733,18.8%,50.9%,6954,47.5%,10069,49.9%,17023,48.9%,29690,52.0%,-3.1pp
Whiskerquill Scribe,R,C,390230,6.78,50489,9.61,139083,45.9%,53.8%,24615,53.2%,29341,50.5%,53956,51.8%,85032,55.1%,-3.3pp
Wildfire Howl,R,U,144436,5.9,17833,8.57,34597,32.9%,51.9%,5752,51.6%,8787,54.8%,14539,53.5%,19951,50.8%,2.8pp
Bakersbane Duo,G,C,263660,3.96,74739,4.96,409342,89.8%,55.7%,74100,57.7%,97797,57.0%,171897,57.3%,235722,54.4%,2.9pp
Valley Rally,R,U,150612,6.11,18082,9.06,40377,37.4%,52.8%,6016,50.5%,8858,52.1%,14874,51.5%,25477,53.5%,-2.0pp
Bark-Knuckle Boxer,G,U,107762,3.98,25338,5.17,128980,83.5%,55.3%,23467,57.3%,29868,55.4%,53335,56.2%,75624,54.6%,1.7pp
Brambleguard Veteran,G,U,102804,3.92,23431,4.99,112445,79.5%,54.8%,19466,56.5%,26812,55.5%,46278,55.9%,66232,54.1%,1.8pp
Bushy Bodyguard,G,U,98226,3.68,25566,4.6,131888,85.1%,55.0%,22631,53.6%,31772,57.6%,54403,55.9%,76818,54.3%,1.6pp
Cache Grab,G,C,340315,5.44,77534,6.96,315430,66.9%,55.6%,56284,56.3%,77598,58.7%,133882,57.7%,180430,54.1%,3.6pp
Clifftop Lookout,G,U,108366,4.07,19852,5.48,86126,73.2%,53.1%,15314,53.0%,22039,53.4%,37353,53.2%,48699,53.0%,0.2pp
Curious Forager,G,U,104973,3.89,26944,4.93,138880,85.2%,55.0%,22988,51.8%,34715,58.0%,57703,55.5%,80431,54.6%,0.9pp
Druid of the Spade,G,C,377776,6.2,55508,8.9,166394,49.8%,54.5%,28075,53.5%,37981,54.4%,66056,54.0%,100182,54.8%,-0.7pp
Fecund Greenshell,G,R,15813,1.6,11427,1.58,66421,93.0%,57.4%,11066,61.8%,17696,65.5%,28762,64.0%,37823,52.5%,11.6pp
For the Common Good,G,R,55132,4.95,6764,7.58,5012,12.5%,48.1%,756,46.0%,1179,45.2%,1935,45.5%,3079,49.8%,-4.2pp
Galewind Moose,G,U,71676,2.77,25954,3.21,142710,90.6%,55.2%,21890,55.1%,36698,59.0%,58588,57.6%,84263,53.5%,4.1pp
Hazardroot Herbalist,G,U,135160,5.18,18774,7.52,57837,51.6%,52.9%,9654,50.5%,12926,52.1%,22580,51.4%,35148,53.7%,-2.3pp
Heaped Harvest,G,C,342019,5.37,52278,7.67,174264,56.2%,52.2%,30376,52.3%,42826,52.9%,73202,52.6%,100572,51.9%,0.8pp
High Stride,G,C,398927,6.83,52610,10.0,100209,31.6%,53.7%,15353,53.7%,23730,54.8%,39083,54.4%,60903,53.3%,1.1pp
Hivespine Wolverine,G,U,81742,3.08,24469,3.76,133239,89.3%,55.5%,20978,55.5%,33928,58.7%,54906,57.5%,78306,54.1%,3.4pp
Honored Dreyleader,G,U,117112,4.54,21929,6.04,88510,67.3%,54.3%,15126,53.6%,22012,56.7%,37138,55.4%,50798,53.4%,2.0pp
Hunter's Talent,G,U,50514,2.1,29337,2.23,168490,92.5%,57.0%,29193,59.4%,42300,62.8%,71493,61.4%,96283,53.7%,7.7pp
Innkeeper's Talent,G,R,13839,1.41,10952,1.39,63333,93.3%,56.9%,11453,65.4%,15831,60.7%,27284,62.7%,35790,52.5%,10.2pp
Keen-Eyed Curator,G,R,19616,1.95,10632,1.99,58289,89.9%,55.7%,10186,57.7%,14482,59.7%,24668,58.9%,33692,53.3%,5.5pp
Longstalk Brawl,G,C,264330,3.9,63413,5.13,335540,87.5%,54.8%,54090,54.4%,84497,56.7%,138587,55.8%,195909,54.0%,1.8pp
"Lumra, Bellow of the Woods",G,M,7479,1.48,5198,1.48,28114,89.0%,55.3%,4571,57.6%,7395,61.0%,11966,59.7%,16206,52.1%,7.6pp
Mistbreath Elder,G,R,24480,2.44,9742,2.54,48659,82.7%,54.9%,8747,59.4%,13017,57.2%,21764,58.1%,27037,52.4%,5.7pp
Overprotect,G,U,94346,3.48,27309,4.32,148790,89.4%,55.6%,23736,55.5%,36889,59.8%,60625,58.1%,87744,53.9%,4.2pp
Pawpatch Formation,G,U,129922,4.74,21526,6.74,91610,70.6%,54.3%,15620,53.8%,22869,57.0%,38489,55.7%,52890,53.2%,2.5pp
Pawpatch Recruit,G,R,17376,1.75,10688,1.75,58762,90.2%,55.9%,10780,59.9%,14296,59.3%,25076,59.6%,33521,53.2%,6.4pp
Peerless Recycling,G,U,150515,5.8,20406,8.57,49809,41.0%,52.0%,7430,47.8%,12297,53.5%,19727,51.4%,29966,52.4%,-1.0pp
Polliwallop,G,C,275971,4.14,64906,5.43,334888,85.2%,55.0%,53527,53.9%,87154,58.4%,140681,56.7%,193066,53.8%,2.9pp
Rust-Shield Rampager,G,C,352184,5.46,51705,7.98,187646,60.3%,54.0%,30084,52.8%,45226,55.5%,75310,54.4%,112398,53.7%,0.7pp
Scrapshooter,G,R,20208,1.98,10068,2.07,55293,90.6%,55.3%,9573,57.4%,13934,57.7%,23507,57.6%,31890,53.6%,4.0pp
Season of Gathering,G,M,7759,1.56,5401,1.57,29529,89.9%,55.6%,4755,56.7%,7592,63.1%,12347,60.6%,17089,51.9%,8.8pp
Stickytongue Sentinel,G,C,327602,5.01,68013,6.69,322052,78.2%,54.9%,54651,53.3%,84582,57.3%,139233,55.7%,182702,54.3%,1.4pp
Stocking the Pantry,G,U,156461,6.42,19856,9.56,23445,19.7%,51.1%,3854,48.2%,5730,49.6%,9584,49.1%,13809,52.5%,-3.4pp
Sunshower Druid,G,C,353861,5.68,54006,8.0,189942,58.7%,54.1%,33655,55.7%,50644,56.7%,84299,56.3%,105525,52.4%,3.8pp
Tender Wildguide,G,R,16390,1.65,10864,1.65,60732,91.0%,56.3%,11148,62.0%,14967,60.1%,26115,60.9%,34574,52.8%,8.1pp
Thornvault Forager,G,R,20433,2.04,10837,2.08,58658,89.2%,55.8%,10700,59.9%,14042,57.8%,24742,58.7%,33747,53.7%,5.0pp
Three Tree Rootweaver,G,C,291869,4.38,55343,6.0,262589,78.9%,54.2%,47708,56.6%,62721,53.5%,110429,54.8%,151992,53.6%,1.2pp
Three Tree Scribe,G,U,107116,4.03,25502,5.12,121587,79.1%,54.7%,21769,57.3%,32113,56.5%,53882,56.8%,67694,53.0%,3.8pp
Treeguard Duo,G,C,280935,4.24,68040,5.52,362216,87.7%,55.3%,58784,54.6%,91460,58.4%,150244,56.9%,211261,54.1%,2.8pp
Treetop Sentries,G,C,363705,5.73,61677,8.02,234316,63.0%,54.5%,37889,51.9%,58392,56.5%,96281,54.7%,136854,54.3%,0.3pp
Valley Mightcaller,G,R,17902,1.78,10601,1.81,59725,92.0%,56.3%,10771,65.9%,14954,56.2%,25725,60.2%,34023,53.4%,6.9pp
Wear Down,G,U,166585,7.16,17929,10.96,4266,4.0%,47.5%,618,41.7%,1024,46.7%,1642,44.8%,2620,49.3%,-4.5pp
